,usuarios,items,count,Nickname,Registration Date,Transactions Completed,Transactions Canceled,Positive Rating,Negative Rating,Neutral Rating
87,129390255,Iphone 7,1,FIORELLASGRO,2012-11-24T13:37:25.000-04:00,141,30,0.93,0.05,0.02
88,136694800,Moto X Style,1,CUEVASRODRIGO03,2013-04-16T16:19:38.000-04:00,1,1,1.0,0.0,0.0
89,140019183,Iphone 7,1,BIGPCELECTRONICA,2013-06-09T21:55:46.000-04:00,1678,24,0.98,0.01,0.01
90,140019183,Samsung s8,1,BIGPCELECTRONICA,2013-06-09T21:55:46.000-04:00,1678,24,0.98,0.01,0.01
91,140491531,Moto X Style,64,ELECTROCELULARES,2013-06-18T12:03:39.000-04:00,327,8,0.96,0.0,0.04
92,143125485,Samsung s8,1,FRAVEGA,2013-07-31T08:14:50.000-04:00,219441,1278,0.94,0.02,0.04
93,143834751,Samsung s8,2,FIQUESTECNO,2013-08-12T10:55:25.000-04:00,251,29,0.98,0.02,0.0
94,144466262,Iphone 7,1,UKELELESHOPMUSIC,2013-08-22T18:15:31.000-04:00,99,8,0.95,0.05,0.0
95,146480022,Iphone 7,1,COMPU-TOOLS,2013-09-26T21:12:39.000-04:00,23527,1650,0.99,0.0,0.01
96,148073262,Moto X Style,1,GASTOJAVIERIGNACIOMOLINA,2013-10-24T21:57:14.000-04:00,4,4,0.65,0.35,0.0
97,149082478,Samsung s8,1,LV-MIM,2013-11-12T09:54:29.000-04:00,459,143,1.0,0.0,0.0
98,151389331,Moto X Style,57,ELCAPODENEXTEL,2013-12-24T12:18:02.000-04:00,1043,102,0.99,0.01,0.0
99,153618344,Samsung s8,1,HANZJACK,2014-02-06T18:17:23.000-04:00,22,12,1.0,0.0,0.0
100,155518960,Iphone 7,1,BICAVICA,2014-03-14T18:47:34.000-04:00,179,21,0.98,0.01,0.01
101,156187794,Samsung s8,1,PUROSTOCK,2014-03-27T09:41:06.000-04:00,7617,393,0.95,0.03,0.02
102,158240589,Iphone 7,1,VANIW8,2014-05-04T10:52:32.000-04:00,15,0,1.0,0.0,0.0
103,165494835,Samsung s8,1,SALE-WEB,2016-03-07T18:40:38.000-04:00,128,3,1.0,0.0,0.0
104,170196245,Samsung s8,1,RULU7507158,2014-11-04T09:17:06.000-04:00,24,8,0.99,0.01,0.0
105,171558006,Samsung s8,1,VIPRACING,2014-11-23T22:59:29.000-04:00,26,18,0.93,0.07,0.0
106,171615366,Samsung s8,1,SANTIAGOCABRAL22,2014-11-24T18:19:52.000-04:00,93,2,0.99,0.0,0.01
107,172753273,Samsung s8,1,DEVENTAS_TECH_STORE,2014-12-10T11:15:42.000-04:00,46260,283,1.0,0.0,0.0
108,174763084,Samsung s8,1,DIGITALSOLUTIONSS,2015-01-11T10:07:25.000-04:00,3494,236,0.97,0.01,0.02
109,185077251,Iphone 7,1,CHHE58067,2015-06-08T00:08:53.000-04:00,74,4,0.98,0.0,0.02
110,185259641,Samsung s8,1,MAX CLOTHING,2015-06-10T09:17:41.000-04:00,922,72,0.98,0.01,0.01
111,187270707,Iphone 7,1,EVOTECH NORTE,2015-07-08T10:21:50.000-04:00,5721,104,0.98,0.01,0.01
112,187270707,Samsung s8,1,EVOTECH NORTE,2015-07-08T10:21:50.000-04:00,5721,104,0.98,0.01,0.01
113,188194030,Samsung s8,1,EXPERTS_LATINOAMERICA,2015-07-20T17:19:41.000-04:00,1910,87,0.98,0.01,0.01
114,189765251,Iphone 7,1,HIGH TECHSTORE,2015-08-09T21:52:13.000-04:00,1349,99,0.99,0.0,0.01
115,189765251,Samsung s8,2,HIGH TECHSTORE,2015-08-09T21:52:13.000-04:00,1349,99,0.99,0.0,0.01
116,191120637,Iphone 7,1,NESTORARTUROCRUZ,2015-08-27T04:11:59.000-04:00,0,0,0.0,0.0,0.0
117,194244598,Iphone 7,2,GONTCHAROVANDRES,2015-10-08T16:57:17.000-04:00,2382,329,0.95,0.02,0.03
118,197635174,Samsung s8,1,PALMGOCBAPALMGOCBA,2015-11-09T10:14:47.000-04:00,362,5,0.98,0.02,0.0
119,199050594,Iphone 7,1,AMDA6509269,2015-11-24T09:38:14.000-04:00,234,10,0.97,0.03,0.0
120,201698054,Moto X Style,1,LOLE1456403,2015-12-24T09:47:38.000-04:00,2,1,0.0,0.0,1.0
121,208201665,Iphone 7,1,REMA431820,2016-03-10T02:33:37.000-04:00,2,0,0.0,0.0,1.0
122,209010728,Iphone 7,1,GAL_JA,2016-03-19T00:43:09.000-04:00,12,1,0.78,0.0,0.22
123,212011454,Iphone 7,1,SYNASASYNA,2016-04-22T14:32:49.000-04:00,5588,130,0.97,0.01,0.02
124,212011454,Samsung s8,3,SYNASASYNA,2016-04-22T14:32:49.000-04:00,5588,130,0.97,0.01,0.02
125,216467614,Iphone 7,2,ENERGYCELULARES,2016-06-07T00:59:35.000-04:00,4755,159,0.94,0.02,0.04
126,225072721,Iphone 7,1,IMPORTACIONES CELL,2016-08-12T07:55:26.000-04:00,182,8,0.98,0.01,0.01
127,227182565,Samsung s8,1,ANMA491077,2016-09-02T11:55:30.000-04:00,6,2,0.0,0.0,1.0
128,227311765,Iphone 7,2,CARAZASANGELA,2016-09-03T19:54:29.000-04:00,263,96,1.0,0.0,0.0
129,235733824,Samsung s8,1,-MARQUEZDIGITAL2-,2016-11-25T12:33:03.000-04:00,458,7,0.95,0.02,0.03
130,236167730,Samsung s8,1,-MARQUEZDIGITAL8-,2016-11-29T09:12:47.000-04:00,2579,60,1.0,0.0,0.0
131,237927305,Samsung s8,1,ELECTRO.HARD,2016-12-15T11:30:56.000-04:00,1623,33,0.98,0.01,0.01
132,239110457,Iphone 7,1,LOOKING72,2016-12-27T23:42:20.000-04:00,365,17,0.95,0.02,0.03
133,239497799,Samsung s8,1,MAIRES TECH,2017-01-02T09:03:05.000-04:00,539,10,0.96,0.01,0.03
134,245100675,Samsung s8,1,LOMA8994359,2017-02-24T11:32:39.000-04:00,2379,17,0.96,0.01,0.03
135,245266809,Iphone 7,1,MORICIMARCOS,2017-02-26T13:39:28.000-04:00,34,1,1.0,0.0,0.0
